tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N10156,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N103SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N10575,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N105SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N106SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N107SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N108SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N109SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N110SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N11106,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11107,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11109,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11113,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11119,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11121,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11127,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11137,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11140,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11150,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11155,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11164,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11165,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11176,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11181,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11184,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11187,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11189,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11191,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11192,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11193,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11194,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11199,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11206,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N113SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N114SY,2014,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N114UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N11526,2001,Fixed wing multi engine,EMBRAER,EMB-135LR,2,37,NA,Turbo-fan
N11535,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11536,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11539,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11544,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11547,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11548,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11551,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11565,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N116SY,2014,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N117SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N118SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N119SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N120SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12122,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12126,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12135,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12136,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12142,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12145,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12157,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12160,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12163,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12166,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12167,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12172,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12175,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12195,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N121SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12201,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12216,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12218,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12221,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12225,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12238,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N122SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N124SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12528,NA,Fixed wing multi engine,EMBRAER,EMB-135LR,2,37,NA,Turbo-fan
N12530,2001,Fixed wing multi engine,EMBRAER,EMB-135LR,2,37,NA,Turbo-fan
N12540,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12552,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12563,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12564,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12567,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12569,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N125SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12754,NA,Fixed wing multi engine,BOEING,737-700,2,149,NA,Turbo-fan
N127SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N128SY,2014,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12900,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12922,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12996,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
