origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
ABQ,2017,1,1,0,32,-9.94,15.42,330,20.714039999999997,23.837302951199995,NA,1029.4,10,2017-01-01T07:00:00Z
ABQ,2017,1,1,1,30.02,-11.02,15.84,350,16.11092,18.5401245176,NA,1031,10,2017-01-01T08:00:00Z
ABQ,2017,1,1,2,28.94,-11.92,15.82,340,17.261699999999998,19.864419125999994,NA,1032.1,10,2017-01-01T09:00:00Z
ABQ,2017,1,1,3,26.96,-9.94,18.93,330,23.0156,26.485892167999996,NA,1033.2,10,2017-01-01T10:00:00Z
ABQ,2017,1,1,4,26.06,-7.96,21.66,340,8.05546,9.2700622588,NA,1034.2,10,2017-01-01T11:00:00Z
ABQ,2017,1,1,5,23,-7.06,25.71,360,8.05546,9.2700622588,NA,1035.3,10,2017-01-01T12:00:00Z
ABQ,2017,1,1,6,21.02,-7.06,27.95,0,0,0,NA,1036.1,10,2017-01-01T13:00:00Z
ABQ,2017,1,1,7,21.02,-5.98,29.45,360,8.05546,9.2700622588,NA,1036.2,10,2017-01-01T14:00:00Z
ABQ,2017,1,1,8,19.04,-5.98,32.05,340,6.904679999999999,7.945767650399998,NA,1036.9,10,2017-01-01T15:00:00Z
ABQ,2017,1,1,9,17.06,-5.08,36.44,30,5.7539,6.621473041999999,NA,1038.2,10,2017-01-01T16:00:00Z
ABQ,2017,1,1,10,17.06,-5.08,36.44,0,0,0,NA,1038.5,10,2017-01-01T17:00:00Z
ABQ,2017,1,1,11,15.98,-5.08,38.19,30,4.60312,5.297178433599999,NA,1039.6,10,2017-01-01T18:00:00Z
ABQ,2017,1,1,12,15.08,-5.08,39.71,40,4.60312,5.297178433599999,NA,1040.4,10,2017-01-01T19:00:00Z
ABQ,2017,1,1,13,15.08,-5.08,39.71,10,8.05546,9.2700622588,NA,1041.4,10,2017-01-01T20:00:00Z
ABQ,2017,1,1,14,15.98,-5.08,38.19,10,10.357019999999999,11.918651475599997,NA,1041.7,10,2017-01-01T21:00:00Z
ABQ,2017,1,1,15,19.04,-5.08,33.47,10,10.357019999999999,11.918651475599997,NA,1042.7,10,2017-01-01T22:00:00Z
ABQ,2017,1,1,16,21.92,-5.08,29.61,360,10.357019999999999,11.918651475599997,NA,1042.6,10,2017-01-01T23:00:00Z
ABQ,2017,1,1,17,26.06,-7.06,22.63,350,11.5078,13.242946083999998,NA,1041.9,10,2017-01-02T00:00:00Z
ABQ,2017,1,1,18,28.94,-9.04,18.25,340,10.357019999999999,11.918651475599997,NA,1040.9,10,2017-01-02T01:00:00Z
ABQ,2017,1,1,19,30.92,-9.04,16.83,330,9.20624,10.594356867199998,NA,1039.6,10,2017-01-02T02:00:00Z
ABQ,2017,1,1,20,33.08,-11.02,13.99,340,4.60312,5.297178433599999,NA,1039.2,10,2017-01-02T03:00:00Z
ABQ,2017,1,1,21,33.98,-11.02,13.5,0,0,0,NA,1038.7,10,2017-01-02T04:00:00Z
ABQ,2017,1,1,22,35.06,-11.02,12.93,20,3.4523399999999995,3.972883825199999,NA,1038.5,10,2017-01-02T05:00:00Z
ABQ,2017,1,1,23,33.08,-11.02,13.99,340,3.4523399999999995,3.972883825199999,NA,1039.1,10,2017-01-02T06:00:00Z
ABQ,2017,1,2,0,30.92,-9.94,16.1,360,4.60312,5.297178433599999,NA,1039.9,10,2017-01-02T07:00:00Z
ABQ,2017,1,2,1,28.94,-7.96,19.24,30,4.60312,5.297178433599999,NA,1040.4,10,2017-01-02T08:00:00Z
ABQ,2017,1,2,2,28.94,-7.06,20.1,350,3.4523399999999995,3.972883825199999,NA,1040.3,10,2017-01-02T09:00:00Z
ABQ,2017,1,2,3,26.06,-5.08,24.9,0,0,0,NA,1040.2,10,2017-01-02T10:00:00Z
ABQ,2017,1,2,4,24.98,-4,27.43,10,8.05546,9.2700622588,NA,1039.9,10,2017-01-02T11:00:00Z
ABQ,2017,1,2,5,23,-2.02,32.74,360,4.60312,5.297178433599999,NA,1039.5,10,2017-01-02T12:00:00Z
ABQ,2017,1,2,6,21.92,-2.02,34.27,360,4.60312,5.297178433599999,NA,1039.5,10,2017-01-02T13:00:00Z
ABQ,2017,1,2,7,17.96,-2.02,40.57,0,0,0,NA,1039.7,10,2017-01-02T14:00:00Z
ABQ,2017,1,2,8,19.04,-0.94,40.76,0,0,0,NA,1039.6,10,2017-01-02T15:00:00Z
ABQ,2017,1,2,9,17.96,-0.94,42.69,10,5.7539,6.621473041999999,NA,1039.5,10,2017-01-02T16:00:00Z
ABQ,2017,1,2,10,17.06,-0.04,46.3,360,8.05546,9.2700622588,NA,1039.2,10,2017-01-02T17:00:00Z
ABQ,2017,1,2,11,15.98,-0.04,48.52,350,8.05546,9.2700622588,NA,1039.8,10,2017-01-02T18:00:00Z
ABQ,2017,1,2,12,17.06,-0.94,44.38,360,10.357019999999999,11.918651475599997,NA,1040,10,2017-01-02T19:00:00Z
ABQ,2017,1,2,13,17.06,-0.94,44.38,350,8.05546,9.2700622588,NA,1040.1,10,2017-01-02T20:00:00Z
ABQ,2017,1,2,14,17.06,-0.04,46.3,320,6.904679999999999,7.945767650399998,NA,1039.9,10,2017-01-02T21:00:00Z
